74486, 6973, 'Appears In Sheet List', '', 0, '1', '1', 'Integer', 'Identity Data', '', 'Yes/No'
74489, 6973, 'Current Revision Description', '', 1, '', '', 'String', 'Identity Data', '', 'Text'
74491, 6973, 'Type', '', 0, 'Sheet', '49561', 'ElementId', 'Other', '', 'Invalid'
74492, 6973, 'Referencing Detail', '', 1, '', '', 'String', 'Identity Data', '', 'Text'
74494, 6973, 'Drawn By', '', 0, 'Author', '', 'String', 'Identity Data', '', 'Text'
74498, 6973, 'Sheet Name', '', 0, 'Wall Section', '', 'String', 'Identity Data', '', 'Text'
74499, 6973, 'Designed By', '', 0, 'Designer', '', 'String', 'Identity Data', '', 'Text'
74500, 6973, 'Approved By', '', 0, 'Approver', '', 'String', 'Identity Data', '', 'Text'
74502, 6973, 'Type Name', '', 1, None, '', 'String', 'Identity Data', '', 'Text'
74503, 6973, 'Current Revision Issued To', '', 1, '', '', 'String', 'Identity Data', '', 'Text'
74504, 6973, 'Referencing Sheet', '', 1, '', '', 'String', 'Identity Data', '', 'Text'
74505, 6973, 'Scale', '', 1, 'As indicated', '', 'String', 'Graphics', '', 'Text'
74506, 6973, 'Type Id', '', 1, 'Sheet', '49561', 'ElementId', 'Other', '', 'Invalid'
74508, 6973, 'Current Revision Issued By', '', 1, '', '', 'String', 'Identity Data', '', 'Text'
74510, 6973, 'Current Revision', '', 1, '', '', 'String', 'Identity Data', '', 'Text'
74511, 6973, 'Current Revision Date', '', 1, '', '', 'String', 'Identity Data', '', 'Text'
74512, 6973, 'Dependency', '', 1, 'Independent', '', 'String', 'Identity Data', '', 'Text'
74514, 6973, 'Checked By', '', 0, 'Checker', '', 'String', 'Identity Data', '', 'Text'
74515, 6973, 'Learning Content', 'b4f5baf1-f62e-44ac-ad59-f1b2e62da7c5', 0, None, '', 'String', 'Other', '', 'URL'
74516, 6973, 'None', '', 0, 'Wall Section', '1457068', 'ElementId', 'Other', '', 'Invalid'
74517, 6973, 'File Path', '', 1, 'C:\\Program Files\\Autodesk\\Revit 2016\\Samples\\rst_basic_sample_project.rvt', '', 'String', 'Other', '', 'Text'
74518, 6973, 'Sheet Issue Date', '', 0, '02/03/15', '', 'String', 'Identity Data', '', 'Text'
74536, 6974, 'None', '', 0, 'Central Pile Section', '1457155', 'ElementId', 'Other', '', 'Invalid'
74545, 6974, 'Current Revision Issued To', '', 1, '', '', 'String', 'Identity Data', '', 'Text'
74549, 6974, 'Sheet Number', '', 0, 'S203', '', 'String', 'Identity Data', '', 'Text'
74551, 6974, 'Current Revision', '', 1, '', '', 'String', 'Identity Data', '', 'Text'
74555, 6974, 'Current Revision Issued', '', 1, '0', '0', 'Integer', 'Identity Data', '', 'Yes/No'
74558, 6974, 'Guide Grid', '', 0, '', '-1', 'ElementId', 'Other', '', 'Invalid'
74559, 6974, 'Checked By', '', 0, 'Checker', '', 'String', 'Identity Data', '', 'Text'
74562, 6974, 'Type Id', '', 1, 'Sheet', '49561', 'ElementId', 'Other', '', 'Invalid'
74563, 6974, 'Dependency', '', 1, 'Independent', '', 'String', 'Identity Data', '', 'Text'
74564, 6974, 'Sheet Issue Date', '', 0, '02/03/15', '', 'String', 'Identity Data', '', 'Text'
74567, 6974, 'Designed By', '', 0, 'Designer', '', 'String', 'Identity Data', '', 'Text'
74568, 6974, 'Type Name', '', 1, None, '', 'String', 'Identity Data', '', 'Text'
74570, 6974, 'Appears In Sheet List', '', 0, '1', '1', 'Integer', 'Identity Data', '', 'Yes/No'
74571, 6974, 'File Path', '', 1, 'C:\\Program Files\\Autodesk\\Revit 2016\\Samples\\rst_basic_sample_project.rvt', '', 'String', 'Other', '', 'Text'
74573, 6974, 'Scale', '', 1, 'As indicated', '', 'String', 'Graphics', '', 'Text'
74574, 6974, 'Current Revision Description', '', 1, '', '', 'String', 'Identity Data', '', 'Text'
74575, 6974, 'Sheet Name', '', 0, 'Central Pile Section', '', 'String', 'Identity Data', '', 'Text'
74577, 6974, 'Referencing Sheet', '', 1, '', '', 'String', 'Identity Data', '', 'Text'
74578, 6974, 'Family', '', 0, 'Sheet', '49561', 'ElementId', 'Other', '', 'Invalid'
74579, 6974, 'Drawn By', '', 0, 'Author', '', 'String', 'Identity Data', '', 'Text'
74582, 6974, 'Family and Type', '', 0, 'Sheet', '49561', 'ElementId', 'Other', '', 'Invalid'
74583, 6974, 'Current Revision Date', '', 1, '', '', 'String', 'Identity Data', '', 'Text'
74584, 6974, 'Type', '', 0, 'Sheet', '49561', 'ElementId', 'Other', '', 'Invalid'
74585, 6974, 'Learning Content', 'b4f5baf1-f62e-44ac-ad59-f1b2e62da7c5', 0, None, '', 'String', 'Other', '', 'URL'
74586, 6974, 'Current Revision Issued By', '', 1, '', '', 'String', 'Identity Data', '', 'Text'
74588, 6974, 'Approved By', '', 0, 'Approver', '', 'String', 'Identity Data', '', 'Text'
74589, 6974, 'Referencing Detail', '', 1, '', '', 'String', 'Identity Data', '', 'Text'
74608, 6975, 'Type', '', 0, 'Sheet', '49561', 'ElementId', 'Other', '', 'Invalid'
74617, 6975, 'Type Name', '', 1, None, '', 'String', 'Identity Data', '', 'Text'
74618, 6975, 'Sheet Name', '', 0, 'Footing Detail', '', 'String', 'Identity Data', '', 'Text'
74623, 6975, 'Family', '', 0, 'Sheet', '49561', 'ElementId', 'Other', '', 'Invalid'
74624, 6975, 'Drawn By', '', 0, 'Author', '', 'String', 'Identity Data', '', 'Text'
74626, 6975, 'Type Id', '', 1, 'Sheet', '49561', 'ElementId', 'Other', '', 'Invalid'
74629, 6975, 'Current Revision', '', 1, '', '', 'String', 'Identity Data', '', 'Text'
74630, 6975, 'Designed By', '', 0, 'Designer', '', 'String', 'Identity Data', '', 'Text'
